drg_key,apr_drg_code,apr_drg_description
1,004,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE
2,005,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE
3,008,AUTOLOGOUS BONE MARROW TRANSPLANT
4,009,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)
5,020,OPEN CRANIOTOMY FOR TRAUMA
6,021,OPEN CRANIOTOMY EXCEPT TRAUMA
7,022,VENTRICULAR SHUNT PROCEDURES
8,023,SPINAL PROCEDURES
9,024,OPEN EXTRACRANIAL VASCULAR PROCEDURES
10,026,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES
11,027,OTHER OPEN CRANIOTOMY
12,029,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES
13,030,PERCUTANEOUS INTRACRANIAL AND EXTRACRANIAL VASCULAR PROCEDURES
14,040,SPINAL DISORDERS AND INJURIES
15,041,NERVOUS SYSTEM MALIGNANCY
16,042,DEGENERATIVE NERVOUS SYSTEM DISORDERS EXCEPT MULTIPLE SCLEROSIS
17,043,"MULTIPLE SCLEROSIS, OTHER DEMYELINATING DISEASE AND INFLAMMATORY NEUROPATHIES"
18,044,INTRACRANIAL HEMORRHAGE
19,045,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
20,046,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION
21,047,TRANSIENT ISCHEMIA
22,048,"PERIPHERAL, CRANIAL AND AUTONOMIC NERVE DISORDERS"
23,049,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM
24,050,NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS
25,051,VIRAL MENINGITIS
26,052,ALTERATION IN CONSCIOUSNESS
27,053,SEIZURE
28,054,MIGRAINE AND OTHER HEADACHES
29,055,HEAD TRAUMA WITH COMA > 1 HOUR OR HEMORRHAGE
30,056,"BRAIN CONTUSION OR LACERATION AND COMPLICATED SKULL FRACTURE, COMA < 1 HOUR OR NO COMA"
31,057,"CONCUSSION, CLOSED SKULL FRACTURE NOS, AND UNCOMPLICATED INTRACRANIAL INJURY, COMA < 1 HOUR OR NO COMA"
32,058,OTHER DISORDERS OF NERVOUS SYSTEM
33,059,ANOXIC AND OTHER SEVERE BRAIN DAMAGE
34,073,ORBIT AND EYE PROCEDURES
35,082,EYE INFECTIONS AND OTHER EYE DISORDERS
36,089,MAJOR CRANIAL OR FACIAL BONE PROCEDURES
37,091,OTHER MAJOR HEAD AND NECK PROCEDURES
38,092,FACIAL BONE PROCEDURES EXCEPT MAJOR CRANIAL OR FACIAL BONE PROCEDURES
39,095,CLEFT LIP AND PALATE REPAIR
40,097,TONSIL AND ADENOID PROCEDURES
41,098,"OTHER EAR, NOSE, MOUTH, THROAT, CRANIOFACIAL, AND NECK PROCEDURES"
42,110,"EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL MALIGNANCIES"
43,111,VERTIGO AND OTHER LABYRINTH DISORDERS
44,113,INFECTIONS OF UPPER RESPIRATORY TRACT
45,114,DENTAL DISEASES AND DISORDERS
46,115,"OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES"
47,120,MAJOR RESPIRATORY AND CHEST PROCEDURES
48,121,OTHER RESPIRATORY AND CHEST PROCEDURES
49,130,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS
50,131,CYSTIC FIBROSIS - PULMONARY DISEASE
51,132,BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD
52,133,RESPIRATORY FAILURE
53,134,PULMONARY EMBOLISM
54,135,MAJOR CHEST AND RESPIRATORY TRAUMA
55,136,RESPIRATORY MALIGNANCY
56,137,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
57,138,BRONCHIOLITIS AND RSV PNEUMONIA
58,139,OTHER PNEUMONIA
59,140,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
60,141,ASTHMA
61,142,INTERSTITIAL AND ALVEOLAR LUNG DISEASES
62,143,"OTHER RESPIRATORY DIAGNOSES EXCEPT SIGNS, SYMPTOMS AND MISCELLANEOUS DIAGNOSES"
63,144,"RESPIRATORY SIGNS, SYMPTOMS AND MISCELLANEOUS DIAGNOSES"
64,145,ACUTE BRONCHITIS AND RELATED SYMPTOMS
65,160,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
66,162,CARDIAC VALVE PROCEDURES WITH AMI OR COMPLEX PRINCIPAL DIAGNOSIS
67,163,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
68,165,CORONARY BYPASS WITH AMI OR COMPLEX PRINCIPAL DIAGNOSIS
69,166,CORONARY BYPASS WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
70,167,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
71,169,MAJOR ABDOMINAL VASCULAR PROCEDURES
72,170,"PERMANENT CARDIAC PACEMAKER IMPLANT WITH AMI, HEART FAILURE OR SHOCK"
73,171,"PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT AMI, HEART FAILURE OR SHOCK"
74,174,PERCUTANEOUS CARDIAC INTERVENTION WITH AMI
75,175,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI
76,176,"INSERTION, REVISION AND REPLACEMENTS OF PACEMAKER AND OTHER CARDIAC DEVICES"
77,177,CARDIAC PACEMAKER AND DEFIBRILLATOR REVISION EXCEPT DEVICE REPLACEMENT
78,178,EXTERNAL HEART ASSIST SYSTEMS
79,179,DEFIBRILLATOR IMPLANTS
80,180,OTHER CIRCULATORY SYSTEM PROCEDURES
81,181,LOWER EXTREMITY ARTERIAL PROCEDURES
82,182,OTHER PERIPHERAL VASCULAR AND RELATED PROCEDURES
83,183,PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES
84,190,ACUTE MYOCARDIAL INFARCTION
85,191,CARDIAC CATHETERIZATION FOR CORONARY ARTERY DISEASE
86,192,CARDIAC CATHETERIZATION FOR OTHER NON-CORONARY CONDITIONS
87,193,ACUTE AND SUBACUTE ENDOCARDITIS
88,194,HEART FAILURE
89,196,CARDIAC ARREST AND SHOCK
90,197,PERIPHERAL AND OTHER VASCULAR DISORDERS
91,198,ANGINA PECTORIS AND CORONARY ATHEROSCLEROSIS
92,199,HYPERTENSION
93,200,CARDIAC STRUCTURAL AND VALVULAR DISORDERS
94,201,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS
95,203,CHEST PAIN
96,204,SYNCOPE AND COLLAPSE
97,205,CARDIOMYOPATHY
98,206,"MALFUNCTION, REACTION, COMPLICATION OF CARDIAC OR VASCULAR DEVICE OR PROCEDURE"
99,207,OTHER CIRCULATORY SYSTEM DIAGNOSES
100,220,"MAJOR STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES"
101,222,"OTHER STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES"
102,223,OTHER SMALL AND LARGE BOWEL PROCEDURES
103,224,PERITONEAL ADHESIOLYSIS
104,226,ANAL AND PERINEAL PROCEDURES
105,227,"HERNIA PROCEDURES EXCEPT INGUINAL, FEMORAL AND UMBILICAL"
106,228,"INGUINAL, FEMORAL AND UMBILICAL HERNIA PROCEDURES"
107,229,OTHER DIGESTIVE SYSTEM AND ABDOMINAL PROCEDURES
108,230,MAJOR SMALL BOWEL PROCEDURES
109,231,MAJOR LARGE BOWEL PROCEDURES
110,232,GASTRIC FUNDOPLICATION
111,233,APPENDECTOMY WITH COMPLEX PRINCIPAL DIAGNOSIS
112,234,APPENDECTOMY WITHOUT COMPLEX PRINCIPAL DIAGNOSIS
113,240,DIGESTIVE MALIGNANCY
114,241,PEPTIC ULCER AND GASTRITIS
115,242,MAJOR ESOPHAGEAL DISORDERS
116,243,OTHER ESOPHAGEAL DISORDERS
117,244,DIVERTICULITIS AND DIVERTICULOSIS
118,245,INFLAMMATORY BOWEL DISEASE
119,246,GASTROINTESTINAL VASCULAR INSUFFICIENCY
120,247,INTESTINAL OBSTRUCTION
121,248,MAJOR GASTROINTESTINAL AND PERITONEAL INFECTIONS
122,249,"OTHER GASTROENTERITIS, NAUSEA AND VOMITING"
123,251,ABDOMINAL PAIN
124,252,"MALFUNCTION, REACTION AND COMPLICATION OF GASTROINTESTINAL DEVICE OR PROCEDURE"
125,253,OTHER AND UNSPECIFIED GASTROINTESTINAL HEMORRHAGE
126,254,OTHER DIGESTIVE SYSTEM DIAGNOSES
127,260,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
128,261,MAJOR BILIARY TRACT PROCEDURES
129,263,CHOLECYSTECTOMY
130,264,"OTHER HEPATOBILIARY, PANCREAS AND ABDOMINAL PROCEDURES"
131,279,HEPATIC COMA AND OTHER MAJOR ACUTE LIVER DISORDERS
132,280,ALCOHOLIC LIVER DISEASE
133,281,MALIGNANCY OF HEPATOBILIARY SYSTEM AND PANCREAS
134,282,DISORDERS OF PANCREAS EXCEPT MALIGNANCY
135,283,OTHER DISORDERS OF THE LIVER
136,284,DISORDERS OF GALLBLADDER AND BILIARY TRACT
137,303,DORSAL AND LUMBAR FUSION PROCEDURE FOR CURVATURE OF BACK
138,304,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
139,305,AMPUTATION OF LOWER LIMB EXCEPT TOES
140,308,HIP AND FEMUR FRACTURE REPAIR
141,309,OTHER SIGNIFICANT HIP AND FEMUR SURGERY
142,310,VERTEBRAL AND INTERVERTEBRAL SPINAL PROCEDURES INCLUDING DISC PROCEDURES
143,312,"SKIN GRAFT, EXCEPT HAND, FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DIAGNOSES"
144,313,KNEE AND LOWER LEG PROCEDURES EXCEPT FOOT
145,314,FOOT AND TOE PROCEDURES
146,315,"SHOULDER, UPPER ARM AND FOREARM PROCEDURES EXCEPT JOINT REPLACEMENT"
147,316,HAND AND WRIST PROCEDURES
148,317,"TENDON, MUSCLE AND OTHER SOFT TISSUE PROCEDURES"
149,320,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE PROCEDURES
150,321,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
151,322,SHOULDER AND ELBOW JOINT REPLACEMENT
152,323,NON-ELECTIVE OR COMPLEX HIP JOINT REPLACEMENT
153,324,ELECTIVE HIP JOINT REPLACEMENT
154,325,NON-ELECTIVE OR COMPLEX KNEE JOINT REPLACEMENT
155,326,ELECTIVE KNEE JOINT REPLACEMENT
156,340,FRACTURE OF FEMUR
157,341,FRACTURE OF PELVIS OR DISLOCATION OF HIP
158,342,"FRACTURES AND DISLOCATIONS EXCEPT FEMUR, PELVIS AND BACK"
159,343,MUSCULOSKELETAL MALIGNANCY AND PATHOLOGICAL FRACTURE DUE TO MUSCULOSKELETAL MALIGNANCY
160,344,"OSTEOMYELITIS, SEPTIC ARTHRITIS AND OTHER MUSCULOSKELETAL INFECTIONS"
161,346,CONNECTIVE TISSUE DISORDERS
162,347,"OTHER BACK AND NECK DISORDERS, FRACTURES AND INJURIES"
163,349,"MALFUNCTION, REACTION, COMPLICATION OF ORTHOPEDIC DEVICE OR PROCEDURE"
164,351,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES
165,361,SKIN GRAFT FOR SKIN AND SUBCUTANEOUS TISSUE DIAGNOSES
166,362,MASTECTOMY PROCEDURES
167,363,BREAST PROCEDURES EXCEPT MASTECTOMY
168,364,"OTHER SKIN, SUBCUTANEOUS TISSUE AND RELATED PROCEDURES"
169,380,SKIN ULCERS
170,381,MAJOR SKIN DISORDERS
171,382,MALIGNANT BREAST DISORDERS
172,383,CELLULITIS AND OTHER SKIN INFECTIONS
173,384,"CONTUSION, OPEN WOUND AND OTHER TRAUMA TO SKIN AND SUBCUTANEOUS TISSUE"
174,385,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST DISORDERS"
175,401,ADRENAL PROCEDURES
176,403,PROCEDURES FOR OBESITY
177,404,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES"
