mdc_key,apr_mdc_code,apr_mdc_description
1,00,PRE MDC
2,01,DISEASES AND DISORDERS OF THE NERVOUS SYSTEM
3,02,DISEASES AND DISORDERS OF THE EYE
4,03,"EAR, NOSE, MOUTH, THROAT AND CRANIOFACIAL DISEASES AND DISORDERS"
5,04,DISEASES AND DISORDERS OF THE RESPIRATORY SYSTEM
6,05,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM
7,06,DISEASES AND DISORDERS OF THE DIGESTIVE SYSTEM
8,07,DISEASES AND DISORDERS OF THE HEPATOBILIARY SYSTEM AND PANCREAS
9,08,DISEASES AND DISORDERS OF THE MUSCULOSKELETAL SYSTEM AND CONN TISSUE
10,09,DISEASES AND DISORDERS OF THE SKIN SUBCUTANEOUS TISSUE AND BREAST
11,10,ENDOCRINE NUTRITIONAL AND METABOLIC DISEASES AND DISORDERS
12,11,DISEASES AND DISORDERS OF THE KIDNEY AND URINARY TRACT
13,12,DISEASES AND DISORDERS OF THE MALE REPRODUCTIVE SYSTEM
14,13,DISEASES AND DISORDERS OF THE FEMALE REPRODUCTIVE SYSTEM
15,14,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM"
16,15,NEWBORNS AND OTHER NEONATES WITH CONDTN ORIG IN PERINATAL PERIOD
17,16,DISEASES AND DISORDERS OF BLOOD BLOOD FORMING ORGANS AND IMMUNOLOG DISORD
18,17,"LYMPHATIC, HEMATOPOIETIC, OTHER MALIGNANCIES, CHEMOTHERAPY AND RADIOTHERAPY"
19,18,"INFECTIOUS AND PARASITIC DISEASES, SYSTEMIC OR UNSPECIFIED SITES"
20,19,MENTAL DISEASES AND DISORDERS
21,20,ALCOHOL/DRUG USE AND ALCOHOL/DRUG INDUCED ORGANIC MENTAL DISORDERS
22,21,"POISONINGS, TOXIC EFFECTS OTHER INJURIES AND OTHER COMPLICATIONS OF TREATMENT"
23,22,BURNS
24,23,REHABILITATION AFTERCARE OTHER FACTORS INFLUENCING HEALTH STATUS AND OTHER HEALTH SERVICE CONTACTS
25,24,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS
26,25,MULTIPLE SIGNIFICANT TRAUMA
