procedure_key,ccsr_procedure_code,ccsr_procedure_description
1,ADM001,TRANSFUSION OF BLOOD AND BLOOD PRODUCTS
2,ADM002,TRANSFUSION OF PLASMA
3,ADM003,ADMINISTRATION OF ALBUMIN AND GLOBULIN
4,ADM004,TRANSFUSION OF CLOTTING FACTORS
5,ADM005,ADMINISTRATION OF THROMBOLYTICS AND PLATELET INHIBITORS
6,ADM006,INFUSION OF VASOPRESSOR
7,ADM007,INTRAVENOUS INDUCTION OF LABOR
8,ADM008,CERVICAL RIPENING
9,ADM009,RH IMMUNOGLOBULIN AND OTHER SERUM INFUSION
10,ADM010,VACCINATIONS
11,ADM012,CHEMOTHERAPY
12,ADM013,PERITONEAL DIALYSIS
13,ADM014,REGIONAL ANESTHESIA
14,ADM015,ADMINISTRATION OF ANTIBIOTICS
15,ADM016,ADMINISTRATION OF ANTI-INFLAMMATORY AGENTS
16,ADM017,ADMINISTRATION OF NUTRITIONAL AND ELECTROLYTIC SUBSTANCES
17,ADM018,IRRIGATION (DIAGNOSTIC AND THERAPEUTIC)
18,ADM019,POTENTIAL COVID-19 THERAPIES
19,ADM020,"ADMINISTRATION OF DIAGNOSTIC SUBSTANCES, NEC"
20,ADM021,"ADMINISTRATION OF THERAPEUTIC SUBSTANCES, NEC"
21,ADM022,COVID-19 VACCINATIONS
22,CAR001,HEART BIOPSY
23,CAR002,HEART CONDUCTION MECHANISM PROCEDURES
24,CAR003,CORONARY ARTERY BYPASS GRAFTS (CABG)
25,CAR004,PERCUTANEOUS CORONARY INTERVENTIONS (PCI)
26,CAR005,OTHER CORONARY ARTERY PROCEDURES (EXCLUDING CABG AND PCI)
27,CAR006,CAROTID ENDARTERECTOMY AND STENTING
28,CAR007,"EMBOLECTOMY, ENDARTERECTOMY, AND RELATED VESSEL PROCEDURES (NON-ENDOVASCULAR; EXCLUDING CAROTID)"
29,CAR008,ANGIOPLASTY AND RELATED VESSEL PROCEDURES (ENDOVASCULAR; EXCLUDING CAROTID)
30,CAR009,LEFT ATRIAL APPENDAGE PROCEDURES
31,CAR010,LIGATION AND EMBOLIZATION OF VESSELS
32,CAR011,ANEURYSM REPAIR PROCEDURES
33,CAR012,VESSEL REPAIR AND REPLACEMENT
34,CAR013,HEART AND GREAT VESSEL BYPASS PROCEDURES
35,CAR014,PERIPHERAL ARTERIAL BYPASS PROCEDURES
36,CAR015,PERIPHERAL ARTERIOVENOUS FISTULA AND SHUNT PROCEDURES
37,CAR016,PORTAL AND OTHER VENOUS BYPASS PROCEDURES
38,CAR017,PERICARDIAL PROCEDURES
39,CAR019,SEPTAL REPAIR AND OTHER THERAPEUTIC HEART PROCEDURES
40,CAR020,SAPHENOUS VEIN HARVEST AND OTHER THERAPEUTIC VESSEL REMOVAL
41,CAR021,"ARTERY, VEIN, AND GREAT VESSEL PROCEDURES, NEC"
42,CAR022,HEART VALVE REPLACEMENT AND OTHER VALVE PROCEDURES (NON-ENDOVASCULAR)
43,CAR023,HEART VALVE REPLACEMENT AND OTHER VALVE PROCEDURES (ENDOVASCULAR)
44,CAR024,VENOUS AND ARTERIAL CATHETER PLACEMENT
45,CAR025,PLACEMENT OF TUNNELED OR IMPLANTABLE PORTION OF A VASCULAR ACCESS DEVICE
46,CAR026,PACEMAKER AND DEFIBRILLATOR PROCEDURES
47,CAR027,HEART ASSIST DEVICE PROCEDURES
48,CAR028,INFERIOR VENA CAVA (IVC) FILTER PROCEDURES
49,CAR029,"CARDIOVASCULAR DEVICE PROCEDURES, NEC"
50,CNS001,MINIMALLY INVASIVE CNS BIOPSY
51,CNS002,LUMBAR PUNCTURE
52,CNS003,SPINAL CANAL AND SPINAL CORD DRAINAGE (EXCLUDING LUMBAR PUNCTURE)
53,CNS004,INTRACRANIAL EPIDURAL AND SUBDURAL SPACE DRAINAGE
54,CNS005,VENTRICULOSTOMY [PERCUTANEOUS APPROACH]
55,CNS006,OTHER CNS DRAINAGE AND RELATED PROCEDURES
56,CNS007,CNS EXCISION PROCEDURES
57,CNS008,SPINAL CORD DECOMPRESSION
58,CNS009,DECOMPRESSIVE CRANIECTOMY
59,CNS010,CEREBROSPINAL FLUID SHUNT PROCEDURES
60,CNS011,MENINGES REPAIR
61,CNS012,CNS NEUROSTIMULATOR PROCEDURES
62,CNS013,SPINAL EPIDURAL CATHETER PLACEMENT
63,CNS014,"CNS PROCEDURES, NEC"
64,ENP001,ENDOCRINE SYSTEM BIOPSY
65,ENP002,THYROIDECTOMY
66,ENP003,PARATHYROIDECTOMY
67,ENP004,ADRENALECTOMY
68,ENP005,PITUITARY GLAND RESECTION
69,ENP006,"ENDOCRINE PROCEDURES, NEC"
70,ENT001,LARYNGOSCOPY (DIAGNOSTIC)
71,ENT002,ENT DIAGNOSTIC ENDOSCOPY (EXCLUDING LARYNGOSCOPY)
72,ENT003,ENT DIAGNOSTIC PROCEDURES (NON-ENDOSCOPIC)
73,ENT004,DIAGNOSTIC AUDIOLOGY
74,ENT005,MYRINGOTOMY
75,ENT006,ENT DRAINAGE (EXCLUDING MYRINGOTOMY)
