apr_drg_description,apr_mdc_description,discharge_count,total_charges,total_costs,avg_cost_per_discharge,cost_rank,pct_of_total_cost,cumulative_pct_of_total_cost
SEPTICEMIA AND DISSEMINATED INFECTIONS,"INFECTIOUS AND PARASITIC DISEASES, SYSTEMIC OR UNSPECIFIED SITES",11830,673910761.580001,220967975.7700016,18678.61,1,9.8,9.8
INFECTIOUS AND PARASITIC DISEASES INCLUDING HIV WITH O.R. PROCEDURE,"INFECTIOUS AND PARASITIC DISEASES, SYSTEMIC OR UNSPECIFIED SITES",1622,197379390.08000025,67194738.03999995,41427.09,2,3.0,12.7
HEART FAILURE,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,4566,175085406.84999987,63671495.56999976,13944.7,3,2.8,15.5
VAGINAL DELIVERY,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",7240,115484504.65000004,53074031.28999998,7330.67,4,2.3,17.9
PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,811,122635420.77000003,45043964.80000002,55541.26,5,2.0,19.9
RESPIRATORY FAILURE,DISEASES AND DISORDERS OF THE RESPIRATORY SYSTEM,2585,107482609.10000023,37102564.129999995,14353.02,6,1.6,21.5
CESAREAN SECTION WITHOUT STERILIZATION,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",3397,92267976.2100001,37079049.11,10915.23,7,1.6,23.1
PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,1318,116111428.33999996,35284627.980000004,26771.34,8,1.6,24.7
MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS,DISEASES AND DISORDERS OF THE RESPIRATORY SYSTEM,2176,94559511.21000008,32924881.060000006,15130.92,9,1.5,26.1
CORONARY BYPASS WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,526,87795552.75999995,32077135.340000026,60983.15,10,1.4,27.6
PERCUTANEOUS CARDIAC INTERVENTION WITH AMI,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,1405,116116755.95999995,30618032.830000006,21792.19,11,1.4,28.9
CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION,DISEASES AND DISORDERS OF THE NERVOUS SYSTEM,2114,105577759.93000013,28997607.67999994,13716.94,12,1.3,30.2
TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,DISEASES AND DISORDERS OF THE NERVOUS SYSTEM,140,88622429.02999997,27643261.07000001,197451.86,13,1.2,31.4
MAJOR LARGE BOWEL PROCEDURES,DISEASES AND DISORDERS OF THE DIGESTIVE SYSTEM,1206,75007207.85999995,27306257.70000001,22642.0,14,1.2,32.6
HIP AND FEMUR FRACTURE REPAIR,DISEASES AND DISORDERS OF THE MUSCULOSKELETAL SYSTEM AND CONN TISSUE,1239,79127717.76999992,26955380.79,21755.76,15,1.2,33.8
OTHER PNEUMONIA,DISEASES AND DISORDERS OF THE RESPIRATORY SYSTEM,2420,76625863.39999996,26540359.839999985,10967.09,16,1.2,35.0
"NEONATE BIRTH WEIGHT > 2499 GRAMS, NORMAL NEWBORN OR NEONATE WITH OTHER PROBLEM",NEWBORNS AND OTHER NEONATES WITH CONDTN ORIG IN PERINATAL PERIOD,10229,65487716.889999665,26229543.770000152,2564.23,17,1.2,36.1
