facility_name,hospital_county,sub_region,discharge_count,total_charges,total_costs,charge_to_cost_ratio,markup_rank
SARATOGA HOSPITAL,Saratoga,Capital District,10341,524071372.32,109659947.91,4.78,1
SAMARITAN HOSPITAL,Rensselaer,Capital District,9912,319000467.22,81925974.84,3.89,2
ALBANY MEDICAL CENTER HOSPITAL,Albany,Capital District,36882,2262759480.49,669426476.15,3.38,3
ELLIS HOSPITAL,Schenectady,Capital District,9552,605566437.16,185380203.52,3.27,4
ST. PETER'S HOSPITAL,Albany,Capital District,24768,1188877732.60,378300281.23,3.14,5
COLUMBIA MEMORIAL HOSPITAL,Columbia,Central NY / Catskill Foothills,3051,99896212.81,34233277.37,2.92,6
NATHAN LITTAUER HOSPITAL,Fulton,Mohawk Valley,2282,62122340.52,21346137.12,2.91,7
THE UNIVERSITY OF VERMONT HEALTH NETWORK - ALICE HYDE MEDICAL CENTER,Franklin,North Country / Adirondack,835,13707387.80,4714112.63,2.91,8
THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,Clinton,North Country / Adirondack,8072,457163054.20,167392854.82,2.73,9
GLENS FALLS HOSPITAL,Warren,North Country / Adirondack,12271,386288217.09,143261306.22,2.7,10
ST. PETER'S ADDICTION RECOVERY CENTER,Albany,Capital District,397,8997995.95,3592160.90,2.5,11
DELAWARE VALLEY HOSPITAL INC,Delaware,Central NY / Catskill Foothills,180,6000111.95,2433039.22,2.47,12
ST. MARY'S HEALTHCARE,Montgomery,Mohawk Valley,3806,104249784.44,43214130.53,2.41,13
ST. PETER'S HOSPITAL - SPARC,Rensselaer,Capital District,266,10804803.08,4748824.22,2.28,14
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,Schenectady,Capital District,2245,101846805.15,47259335.20,2.16,15
ELLIS HOSPITAL - BELLEVUE WOMAN'S CARE CENTER DIVISION,Schenectady,Capital District,3548,63802825.54,30870818.08,2.07,16
ADIRONDACK MEDICAL CENTER-SARANAC LAKE SITE,Franklin,North Country / Adirondack,2166,82653023.99,41435143.39,1.99,17
MARGARETVILLE HOSPITAL,Delaware,Central NY / Catskill Foothills,100,3726135.66,2027678.60,1.84,18
ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,Montgomery,Mohawk Valley,259,12095150.24,7207374.22,1.68,19
A.O. FOX MEMORIAL HOSPITAL,Otsego,Central NY / Catskill Foothills,1399,30585123.24,19406137.56,1.58,20
COBLESKILL REGIONAL HOSPITAL,Schoharie,Central NY / Catskill Foothills,455,5244618.26,3549794.32,1.48,21
MARY IMOGENE BASSETT HOSPITAL,Otsego,Central NY / Catskill Foothills,9910,329681971.65,251597375.05,1.31,22
THE UNIVERSITY OF VERMONT HEALTH NETWORK - ELIZABETHTOWN COMMUNITY HOSPITAL,Essex,North Country / Adirondack,736,13373270.83,11165615.63,1.2,23
O'CONNOR HOSPITAL,Delaware,Central NY / Catskill Foothills,180,1730101.35,1676366.54,1.03,24
