respondent_idx,family_a_rate,family_c_rate,family_b_rate
0,0.0033003300330033004,0.0,
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.003484320557491289,
4,0.023323615160349854,0.008746355685131196,
5,0.0,0.0,0.0
6,0.0,0.004016064257028112,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.18032786885245902,0.0,0.0
10,0.0,0.0,0.0
11,0.00819672131147541,0.0,0.0
12,0.0,0.0070921985815602835,
13,0.003355704697986577,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0321285140562249,0.0,0.0
17,0.025157232704402517,0.009433962264150943,
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.013559322033898305,0.03389830508474576,
21,0.0036101083032490976,0.0,0.0
22,0.003952569169960474,0.003952569169960474,0.0
23,0.0,0.0,0.0
24,0.0,0.007462686567164179,
25,0.0,0.0,0.0
26,0.033962264150943396,0.0,
27,0.0,0.0,0.0
28,0.006944444444444444,0.013888888888888888,
29,0.010452961672473868,0.0,
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0038314176245210726,0.0,
33,0.0,0.0,0.0
34,0.015527950310559006,0.006211180124223602,
35,0.0113314447592068,0.0,0.40226628895184136
36,0.012195121951219513,0.0,0.0
37,0.0,0.0,
38,0.06772908366533864,0.0,0.0
39,0.01532567049808429,0.011494252873563218,
40,0.0,0.0,0.0
41,0.0,0.0,
42,0.0,0.0,
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.02734375,
46,0.0,0.0,0.0
47,0.0,0.0,
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0037735849056603774,0.011320754716981131,
51,0.0037735849056603774,0.0,0.0
52,0.033582089552238806,0.007462686567164179,
53,0.0,0.0,0.0
54,0.0,0.034220532319391636,
55,0.21189591078066913,0.05204460966542751,
56,0.013377926421404682,0.010033444816053512,
57,0.0032679738562091504,0.00980392156862745,
58,0.0,0.0,0.0
59,0.003401360544217687,0.0,
60,0.0,0.0,0.0
61,0.15412186379928317,0.05734767025089606,
62,0.0036496350364963502,0.0,0.0
63,0.0,0.0,
64,0.0,0.0,0.0
65,0.16225165562913907,0.009933774834437087,
66,0.014388489208633094,0.014388489208633094,
67,0.00949367088607595,0.0,0.0
68,0.01107011070110701,0.0,0.0
69,0.003663003663003663,0.0,0.0
70,0.041237113402061855,0.0,0.0
71,0.0,0.0,0.0
72,0.01020408163265306,0.003401360544217687,
73,0.055970149253731345,0.0708955223880597,
74,0.0,0.05653710247349823,
75,0.0,0.0,0.0
76,0.006711409395973154,0.02348993288590604,
77,0.003745318352059925,0.0,0.0
78,0.0,0.0,0.0
79,0.01,0.03333333333333333,
80,0.003424657534246575,0.0,0.0
81,0.0539568345323741,0.0,
82,0.1111111111111111,0.027777777777777776,
83,0.04428044280442804,0.01845018450184502,
84,0.0,0.0,0.0
85,0.0,0.0,
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.006349206349206349,0.0,0.0
93,0.027586206896551724,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.003401360544217687,0.08843537414965986,
97,0.04713804713804714,0.0,0.0
98,0.0,0.0,0.0
99,0.003472222222222222,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.008064516129032258,
102,0.0,0.0,0.0
103,0.01928374655647383,0.0,0.9173553719008265
104,0.0,0.0,
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0033783783783783786,
108,0.043824701195219126,0.0,
109,0.05017921146953405,0.0,0.0
110,0.1124031007751938,0.0,0.0
111,0.0,0.0,0.0
112,0.0034129692832764505,0.0,
113,0.02158273381294964,0.0,0.0
114,0.025280898876404494,0.0,0.7134831460674157
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.013468013468013467,0.0,0.0
118,0.011461318051575931,0.0,0.8624641833810889
119,0.0,0.04150943396226415,
120,0.0,0.0,0.0
121,0.011661807580174927,0.0,0.43440233236151604
122,0.0034965034965034965,0.0,
123,0.022435897435897436,0.01282051282051282,
124,0.17928286852589642,0.05976095617529881,
125,0.0035714285714285713,0.0,0.0
126,0.0,0.0,0.0
127,0.05904059040590406,0.014760147601476014,
128,0.0037735849056603774,0.0,0.0
129,0.055350553505535055,0.0,
130,0.0,0.0,0.0
131,0.11075949367088607,0.0,
132,0.0,0.0,0.0
133,0.0,0.0,
134,0.040145985401459854,0.0036496350364963502,
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0035087719298245615,0.0035087719298245615,
138,0.0,0.0,
139,0.07196969696969698,0.0,
140,0.06666666666666667,0.003703703703703704,
141,0.0,0.0,0.0
142,0.05223880597014925,0.0,0.0
143,0.015444015444015444,0.0,0.0
144,0.44370860927152317,0.006622516556291391,
145,0.0,0.0,0.0
146,0.03322259136212625,0.0,0.0
147,0.003484320557491289,0.0,0.0
148,0.23076923076923078,0.017482517482517484,
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.10891089108910891,0.039603960396039604,
156,0.0,0.0035211267605633804,0.0
157,0.003115264797507788,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.023178807947019868,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0035587188612099642,0.0,
168,0.05511811023622047,0.0,
169,0.006289308176100629,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.01098901098901099,
172,0.0,0.0,0.0
173,0.030395136778115502,0.0,0.4133738601823708
174,0.0,0.0,0.0
175,0.028391167192429023,0.006309148264984227,
176,0.0,0.0,0.0
177,0.0,0.0,
178,0.0,0.0,0.0
179,0.045283018867924525,0.0,0.0
180,0.02459016393442623,0.0,0.6939890710382514
181,0.003816793893129771,0.0,0.0
182,0.0,0.0,0.0
183,0.40793201133144474,0.0056657223796034,
184,0.036101083032490974,0.018050541516245487,
185,0.028469750889679714,0.014234875444839857,
186,0.0,0.0,0.0
187,0.007246376811594203,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
