variable,in_item_universe,exclusion_reason,applicable_rule,notes
APP_REGION,False,no_outcome_codes,,
AccessOnlineRecord3,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
AdultsinHH,False,no_outcome_codes,,
Age,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
AgeGrpA,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
AgeGrpB,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Alcohol_CancerRisk,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
AmerInd,True,,universal,Outcome code found: Missing data (Not Ascertained)...
AsInd,True,,universal,Outcome code found: Missing data (Not Ascertained)...
AverageTimeSitting,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
AvgDrinksPerWeek,True,,universal,Outcome code found: Missing data (Not Ascertained)...
BMI,True,,universal,Outcome code found: Missing data (Not Ascertained)...
BirthSex,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Black,True,,universal,Outcome code found: Missing data (Not Ascertained)...
CAOTH0,False,no_outcome_codes,,
CAOTH1,False,no_outcome_codes,,
CAOTH2,False,no_outcome_codes,,
CAOTH3,False,no_outcome_codes,,
CAOTH4,False,no_outcome_codes,,
CAREG0,False,no_outcome_codes,,
CAREG1,False,no_outcome_codes,,
CAREG2,False,no_outcome_codes,,
CAREG3,False,no_outcome_codes,,
CAREG4,False,no_outcome_codes,,
CAREGIVINGCOND_CAT,True,,universal,Outcome code found: Missing data (Filter Missing)...
CENSDIV,False,no_outcome_codes,,
CENSREG,False,no_outcome_codes,,
COVIDDelayCaScreening,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
CaBladder,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaBone,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaBrain,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaBreast,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaCervical,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaColon,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaEndometrial,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaEye,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaHeadNeck,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaHodgkins,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaLeukemia,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaLiver,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaLung,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaMelanoma,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaMultMyeloma,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaNonHodgkin,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaOral,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaOther,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaOther_OS,False,open_text_field,,
CaOvarian,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaPancreatic,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaPharyngeal,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaProstate,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaRectal,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaRenal,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaSkin,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaStomach,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaTesticular,True,,universal,Outcome code found: Missing data (Filter Missing)...
CaThyroid,True,,universal,Outcome code found: Missing data (Filter Missing)...
CancerConcernedQuality,True,,universal,Outcome code found: Missing data (Filter Missing)...
CancerFatal,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
CancerFrustrated,True,,universal,Outcome code found: Missing data (Filter Missing)...
CancerLotOfEffort,True,,universal,Outcome code found: Missing data (Filter Missing)...
CancerTooHardUnderstand,True,,universal,Outcome code found: Missing data (Filter Missing)...
CancerTrustCharities,True,,universal,Outcome code found: Multiple responses selected in error...
CancerTrustDoctor,True,,universal,Outcome code found: Multiple responses selected in error...
CancerTrustFamily,True,,universal,Outcome code found: Multiple responses selected in error...
CancerTrustGov,True,,universal,Outcome code found: Multiple responses selected in error...
CancerTrustReligiousOrgs,True,,universal,Outcome code found: Multiple responses selected in error...
CancerTrustScientists,True,,universal,Outcome code found: Multiple responses selected in error...
Cancer_Cat,False,derived_variable,,collapsed or recoded from source items
CannotAffordMeals2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
CaregivingWho_Cat,False,derived_variable,,collapsed or recoded from source items
Caregiving_AccessMedRec2,True,,universal,Outcome code found: Missing data (Filter Missing)...
