estimate,n_respondents,point_pct,se_pp,implied_n,implied_n_over_n,design_effect_rate,guard
H1 item nonresponse / treatment,1513,1.2229854412698966,0.09349490775500256,885.6628877724767,0.5853687295257611,1.7083249404356702,passed
H1 item nonresponse / control,5765,1.435872785425429,0.0662384340541521,3759.610655916458,0.6521440860219355,1.533403463182466,passed
H3 response error / treatment,1513,0.343687284707821,0.038711595477457096,892.0271035932498,0.5895750849922338,1.6961368033609705,passed
H3 response error / control,5765,0.36481221207552145,0.016959455343089715,4464.154632052894,0.7743546629753503,1.291397918568268,passed
H2 break-off (web only) / treatment,1061,6.938338811988115,1.4281074117055592,225.61113848883443,0.21264009282642266,4.702781995191737,passed
H2 break-off (web only) / control,3800,5.123385771727274,0.5324477297658866,1167.8316354067122,0.30732411458071374,3.2538936990490086,passed
pooled A,7278,1.3934559064025602,0.0562719538833939,4660.78441033488,0.6403935710820116,1.5615397236271376,passed
pooled C,7278,0.36060316201631265,0.01600819498689535,5051.787909002188,0.6941176022261869,1.4406780591542145,passed
pooled B (web),4861,5.482673159977658,0.46377768443493217,1660.4735092753108,0.3415909297007428,2.927478199951237,passed
mode[web] A item nonresponse / treatment,1061,0.792522431715259,0.08310859507647282,645.4521800378363,0.6083432422599777,1.6438088410171676,passed
mode[web] A item nonresponse / control,3800,0.8429017713881712,0.07102287590976092,1501.2599497550507,0.39506840783027647,2.531207204068834,passed
mode[paper] A item nonresponse / treatment,452,2.3248895063715596,0.26251358847352607,209.8129789773422,0.46418800658704024,2.154299520473477,passed
mode[paper] A item nonresponse / control,1965,2.998534450447557,0.16162393047484547,1402.6672189579222,0.7138255567215889,1.400902490228473,passed
mode[web] C response error / treatment,1061,0.01695783276625882,0.004624499489614127,839.6260289534073,0.7913534674395921,1.263657823141256,passed
mode[web] C response error / control,3800,0.022182074840815035,0.009935483712577122,591.6290443738773,0.15569185378259928,6.422943626815264,passed
mode[paper] C response error / treatment,452,1.180053019490309,0.14537475227226676,176.96516726063564,0.3915158567713178,2.554174965598122,passed
mode[paper] C response error / control,1965,1.2677483894993737,0.05465848547919739,1134.4214436051764,0.5773137117583594,1.7321604868074918,passed
mode[web] B break-off / treatment,1061,6.938338811988115,1.4281074117055592,225.61113848883443,0.21264009282642266,4.702781995191737,passed
mode[web] B break-off / control,3800,5.123385771727274,0.5324477297658866,1167.8316354067122,0.30732411458071374,3.2538936990490086,passed
per-protocol / agreed (NON-RANDOMISED),1389,1.1663033567848584,0.0930589748533295,853.9658229920598,0.6148062080576384,1.6265287937792743,passed
per-protocol / did not agree (NON-RANDOMISED),124,1.8596644781069729,0.3652218117901168,83.91142110041386,0.6767050088743053,1.4777487781027274,passed
H1 sensitivity (excl Filter Missing) / treatment,1513,1.2452735436354305,0.09643402891642296,911.5101651429612,0.6024521911057246,1.6598827504712481,passed
H1 sensitivity (excl Filter Missing) / control,5765,1.5196651204067892,0.07597813567105702,3893.298161220174,0.6753335925793883,1.4807496783635057,passed
H3 sensitivity (excl Filter Missing) / treatment,1513,0.34751625551964826,0.039108927051351654,895.4314988348742,0.59182518098802,1.689688158132363,passed
H3 sensitivity (excl Filter Missing) / control,5765,0.370894995355488,0.01720552217524107,4489.142065879129,0.7786889966832835,1.284209747741858,passed
H2 sensitivity (excl Filter Missing) / treatment,1061,6.950614975227912,1.4288131156171537,225.8836963873553,0.21289698057243664,4.697107480393586,passed
H2 sensitivity (excl Filter Missing) / control,3800,5.138734275870583,0.5328301655102413,1171.3145517773949,0.30824067152036705,3.2442182112684788,passed
H1 sensitivity (excl Web-Never-Seen) / treatment,1513,1.6589579976526079,0.14145805225682953,663.8736109093016,0.43877965030357013,2.2790482633097247,passed
H1 sensitivity (excl Web-Never-Seen) / control,5765,1.755839290003495,0.07917062026435756,3369.2440709484117,0.5844308882824651,1.7110663040737222,passed
H3 sensitivity (excl Web-Never-Seen) / treatment,1513,0.3447082452250976,0.03864090271376571,897.2336988644226,0.5930163244312112,1.6862942195716875,passed
H3 sensitivity (excl Web-Never-Seen) / control,5765,0.3660591171443292,0.016969178308756796,4519.790546919546,0.7840052986850903,1.2755015835698678,passed
