diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
1,BLD001,NUTRITIONAL ANEMIA
2,BLD002,HEMOLYTIC ANEMIA
3,BLD003,APLASTIC ANEMIA
4,BLD004,ACUTE POSTHEMORRHAGIC ANEMIA
5,BLD005,SICKLE CELL TRAIT/ANEMIA
6,BLD006,COAGULATION AND HEMORRHAGIC DISORDERS
7,BLD007,DISEASES OF WHITE BLOOD CELLS
8,BLD008,IMMUNITY DISORDERS
9,BLD009,POSTPROCEDURAL OR POSTOPERATIVE COMPLICATIONS OF THE SPLEEN
10,BLD010,OTHER SPECIFIED AND UNSPECIFIED HEMATOLOGIC CONDITIONS
11,CIR001,CHRONIC RHEUMATIC HEART DISEASE
12,CIR002,ACUTE RHEUMATIC HEART DISEASE
13,CIR003,NONRHEUMATIC AND UNSPECIFIED VALVE DISORDERS
14,CIR004,ENDOCARDITIS AND ENDOCARDIAL DISEASE
15,CIR005,MYOCARDITIS AND CARDIOMYOPATHY
16,CIR006,PERICARDITIS AND PERICARDIAL DISEASE
17,CIR007,ESSENTIAL HYPERTENSION
18,CIR008,HYPERTENSION WITH COMPLICATIONS AND SECONDARY HYPERTENSION
19,CIR009,ACUTE MYOCARDIAL INFARCTION
20,CIR010,COMPLICATIONS OF ACUTE MYOCARDIAL INFARCTION
21,CIR011,CORONARY ATHEROSCLEROSIS AND OTHER HEART DISEASE
22,CIR012,NONSPECIFIC CHEST PAIN
23,CIR013,ACUTE PULMONARY EMBOLISM
24,CIR014,PULMONARY HEART DISEASE
25,CIR015,OTHER AND ILL-DEFINED HEART DISEASE
26,CIR016,CONDUCTION DISORDERS
27,CIR017,CARDIAC DYSRHYTHMIAS
28,CIR018,CARDIAC ARREST AND VENTRICULAR FIBRILLATION
29,CIR019,HEART FAILURE
30,CIR020,CEREBRAL INFARCTION
31,CIR021,ACUTE HEMORRHAGIC CEREBROVASCULAR DISEASE
32,CIR022,SEQUELA OF HEMORRHAGIC CEREBROVASCULAR DISEASE
33,CIR023,OCCLUSION OR STENOSIS OF PRECEREBRAL OR CEREBRAL ARTERIES WITHOUT INFARCTION
34,CIR024,OTHER AND ILL-DEFINED CEREBROVASCULAR DISEASE
35,CIR025,SEQUELA OF CEREBRAL INFARCTION AND OTHER CEREBROVASCULAR DISEASE
36,CIR026,PERIPHERAL AND VISCERAL VASCULAR DISEASE
37,CIR027,ARTERIAL DISSECTIONS
38,CIR028,GANGRENE
39,CIR029,AORTIC; PERIPHERAL; AND VISCERAL ARTERY ANEURYSMS
40,CIR030,AORTIC AND PERIPHERAL ARTERIAL EMBOLISM OR THROMBOSIS
41,CIR031,HYPOTENSION
42,CIR032,OTHER SPECIFIED AND UNSPECIFIED CIRCULATORY DISEASE
43,CIR033,ACUTE PHLEBITIS; THROMBOPHLEBITIS AND THROMBOEMBOLISM
44,CIR034,CHRONIC PHLEBITIS; THROMBOPHLEBITIS AND THROMBOEMBOLISM
45,CIR035,VARICOSE VEINS OF LOWER EXTREMITY
46,CIR036,POSTTHROMBOTIC SYNDROME AND VENOUS INSUFFICIENCY/HYPERTENSION
47,CIR038,POSTPROCEDURAL OR POSTOPERATIVE CIRCULATORY SYSTEM COMPLICATION
48,CIR039,OTHER SPECIFIED DISEASES OF VEINS AND LYMPHATICS
49,DIG001,INTESTINAL INFECTION
50,DIG002,DISORDERS OF TEETH AND GINGIVA
51,DIG003,DISEASES OF MOUTH; EXCLUDING DENTAL
52,DIG004,ESOPHAGEAL DISORDERS
53,DIG005,GASTRODUODENAL ULCER
54,DIG006,GASTROINTESTINAL AND BILIARY PERFORATION
55,DIG007,GASTRITIS AND DUODENITIS
56,DIG008,OTHER SPECIFIED AND UNSPECIFIED DISORDERS OF STOMACH AND DUODENUM
57,DIG009,APPENDICITIS AND OTHER APPENDICEAL CONDITIONS
