facility_name,sub_region,apr_severity_of_illness,discharge_count,avg_length_of_stay_days,median_length_of_stay_days,censored_stay_count
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Extreme,4227,16.07,11.0,15
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Major,9971,8.06,6.0,2
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Minor,9066,2.63,2.0,0
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Moderate,13615,4.53,3.0,1
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Undetermined,3,1.0,1.0,0
ELLIS HOSPITAL,Capital District,Extreme,1351,11.27,8.0,2
ELLIS HOSPITAL,Capital District,Major,3168,6.02,5.0,1
ELLIS HOSPITAL,Capital District,Minor,1572,3.32,2.0,0
ELLIS HOSPITAL,Capital District,Moderate,3461,4.63,3.0,2
ELLIS HOSPITAL - BELLEVUE WOMAN'S CARE CENTER DIVISION,Capital District,Extreme,1,1.0,1.0,0
ELLIS HOSPITAL - BELLEVUE WOMAN'S CARE CENTER DIVISION,Capital District,Major,144,4.5,3.0,0
ELLIS HOSPITAL - BELLEVUE WOMAN'S CARE CENTER DIVISION,Capital District,Minor,2456,2.23,2.0,0
ELLIS HOSPITAL - BELLEVUE WOMAN'S CARE CENTER DIVISION,Capital District,Moderate,947,2.92,2.0,0
SAMARITAN HOSPITAL,Capital District,Extreme,1327,8.48,6.0,0
SAMARITAN HOSPITAL,Capital District,Major,2959,5.01,4.0,1
SAMARITAN HOSPITAL,Capital District,Minor,2476,2.77,2.0,0
SAMARITAN HOSPITAL,Capital District,Moderate,3148,4.39,3.0,3
SAMARITAN HOSPITAL,Capital District,Undetermined,2,1.5,1.5,0
SARATOGA HOSPITAL,Capital District,Extreme,828,11.45,9.0,1
SARATOGA HOSPITAL,Capital District,Major,2888,5.68,4.0,0
SARATOGA HOSPITAL,Capital District,Minor,3001,2.42,2.0,0
SARATOGA HOSPITAL,Capital District,Moderate,3624,3.8,3.0,1
ST. PETER'S ADDICTION RECOVERY CENTER,Capital District,Major,15,19.27,26.0,0
ST. PETER'S ADDICTION RECOVERY CENTER,Capital District,Minor,239,20.19,27.0,0
ST. PETER'S ADDICTION RECOVERY CENTER,Capital District,Moderate,138,21.43,28.0,0
ST. PETER'S ADDICTION RECOVERY CENTER,Capital District,Undetermined,5,8.2,6.0,0
ST. PETER'S HOSPITAL,Capital District,Extreme,2682,10.11,8.0,0
ST. PETER'S HOSPITAL,Capital District,Major,7156,5.54,4.0,0
ST. PETER'S HOSPITAL,Capital District,Minor,7064,2.23,2.0,0
ST. PETER'S HOSPITAL,Capital District,Moderate,7865,3.27,3.0,0
ST. PETER'S HOSPITAL,Capital District,Undetermined,1,2.0,2.0,0
ST. PETER'S HOSPITAL - SPARC,Capital District,Extreme,2,9.0,9.0,0
ST. PETER'S HOSPITAL - SPARC,Capital District,Major,9,29.56,28.0,0
ST. PETER'S HOSPITAL - SPARC,Capital District,Minor,146,22.11,27.5,0
ST. PETER'S HOSPITAL - SPARC,Capital District,Moderate,107,22.4,27.0,0
ST. PETER'S HOSPITAL - SPARC,Capital District,Undetermined,2,6.5,6.5,0
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,Capital District,Extreme,166,16.79,15.0,0
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,Capital District,Major,762,14.6,13.0,0
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,Capital District,Minor,278,11.12,10.0,1
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,Capital District,Moderate,1039,12.68,12.0,0
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Extreme,89,6.67,6.0,0
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Major,559,5.81,4.0,1
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Minor,166,2.86,2.0,0
