facility_name,sub_region,payer_category,discharge_count,total_costs,pct_of_facility_discharges
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Government,1238,17509868.56,88.5
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Commercial,142,1748000.29,10.2
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Self-Pay,12,76883.66,0.9
A.O. FOX MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Other,7,71385.05,0.5
ADIRONDACK MEDICAL CENTER-SARANAC LAKE SITE,North Country / Adirondack,Government,1405,29120647.65,64.9
ADIRONDACK MEDICAL CENTER-SARANAC LAKE SITE,North Country / Adirondack,Commercial,720,11747673.37,33.2
ADIRONDACK MEDICAL CENTER-SARANAC LAKE SITE,North Country / Adirondack,Other,24,376761.11,1.1
ADIRONDACK MEDICAL CENTER-SARANAC LAKE SITE,North Country / Adirondack,Self-Pay,17,190061.26,0.8
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Commercial,21827,348508717.49,59.2
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Government,13531,289273462.58,36.7
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Other,814,21736312.52,2.2
ALBANY MEDICAL CENTER HOSPITAL,Capital District,Self-Pay,710,9907983.56,1.9
COBLESKILL REGIONAL HOSPITAL,Central NY / Catskill Foothills,Government,418,3218491.84,91.9
COBLESKILL REGIONAL HOSPITAL,Central NY / Catskill Foothills,Commercial,23,184634.17,5.1
COBLESKILL REGIONAL HOSPITAL,Central NY / Catskill Foothills,Other,8,96622.08,1.8
COBLESKILL REGIONAL HOSPITAL,Central NY / Catskill Foothills,Self-Pay,6,50046.23,1.3
COLUMBIA MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Government,2499,27849685.24,81.9
COLUMBIA MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Commercial,524,6187530.31,17.2
COLUMBIA MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Self-Pay,20,151505.24,0.7
COLUMBIA MEMORIAL HOSPITAL,Central NY / Catskill Foothills,Other,8,44556.58,0.3
DELAWARE VALLEY HOSPITAL INC,Central NY / Catskill Foothills,Government,161,2252857.39,89.4
DELAWARE VALLEY HOSPITAL INC,Central NY / Catskill Foothills,Commercial,13,104648.71,7.2
